provinceState,Confirmed,Recovered,Deaths,Active,date
Chongqing,579,573,6,0,2020-06-05 02:33:06
Fujian,358,356,1,1,2020-06-05 02:33:06
Gansu,139,137,2,0,2020-06-05 02:33:06
Guangdong,1598,1584,8,6,2020-06-05 02:33:06
Guangxi,254,252,2,0,2020-06-05 02:33:06
Guizhou,147,145,2,0,2020-06-05 02:33:06
Hainan,169,163,6,0,2020-06-05 02:33:06
Hebei,328,322,6,0,2020-06-05 02:33:06
Heilongjiang,947,934,13,0,2020-06-05 02:33:06
Henan,1276,1254,22,0,2020-06-05 02:33:06
Hong Kong,1099,1042,4,53,2020-06-05 02:33:06
Hubei,68135,63623,4512,0,2020-06-05 02:33:06
Hunan,1019,1015,4,0,2020-06-05 02:33:06
Inner Mongolia,235,213,1,21,2020-06-05 02:33:06
Jiangsu,653,653,0,0,2020-06-05 02:33:06
Jiangxi,932,931,1,0,2020-06-05 02:33:06
Jilin,155,149,2,4,2020-06-05 02:33:06
Liaoning,149,147,2,0,2020-06-05 02:33:06
Macau,45,45,0,0,2020-06-05 02:33:06
Ningxia,75,75,0,0,2020-06-05 02:33:06
Qinghai,18,18,0,0,2020-06-05 02:33:06
Shaanxi,309,305,3,1,2020-06-05 02:33:06
Shandong,792,780,7,5,2020-06-05 02:33:06
Shanghai,677,662,7,8,2020-06-05 02:33:06
Shanxi,198,198,0,0,2020-06-05 02:33:06
Sichuan,578,558,3,17,2020-06-05 02:33:06
Tianjin,192,189,3,0,2020-06-05 02:33:06
Tibet,1,1,0,0,2020-06-05 02:33:06
Xinjiang,76,73,3,0,2020-06-05 02:33:06
Yunnan,185,183,2,0,2020-06-05 02:33:06
Zhejiang,1268,1267,1,0,2020-06-05 02:33:06
