provinceState,Confirmed,Recovered,Deaths,Active,date
Anhui,994,987,6,1,2021-02-01 05:22:53
Beijing,1038,977,9,52,2021-02-01 05:22:53
Chongqing,591,584,6,1,2021-02-01 05:22:53
Fujian,541,525,1,15,2021-02-01 05:22:53
Gansu,187,180,2,5,2021-02-01 05:22:53
Guangdong,2125,2074,8,43,2021-02-01 05:22:53
Guangxi,267,263,2,2,2021-02-01 05:22:53
Guizhou,147,145,2,0,2021-02-01 05:22:53
Hainan,171,165,6,0,2021-02-01 05:22:53
Hebei,1313,932,7,374,2021-02-01 05:22:53
Heilongjiang,1583,1050,13,520,2021-02-01 05:22:53
Henan,1303,1280,22,1,2021-02-01 05:22:53
Hong Kong,10452,9423,181,848,2021-02-01 05:22:53
Hubei,68150,63637,4512,1,2021-02-01 05:22:53
Hunan,1032,1017,4,11,2021-02-01 05:22:53
Inner Mongolia,366,353,1,12,2021-02-01 05:22:53
Jiangsu,694,686,0,8,2021-02-01 05:22:53
Jiangxi,935,934,1,0,2021-02-01 05:22:53
Jilin,551,198,3,350,2021-02-01 05:22:53
Liaoning,400,384,2,14,2021-02-01 05:22:53
Macau,47,46,0,1,2021-02-01 05:22:53
Ningxia,75,75,0,0,2021-02-01 05:22:53
Qinghai,18,18,0,0,2021-02-01 05:22:53
Shaanxi,539,511,3,25,2021-02-01 05:22:53
Shandong,866,857,7,2,2021-02-01 05:22:53
Shanghai,1698,1566,7,125,2021-02-01 05:22:53
Shanxi,238,227,0,11,2021-02-01 05:22:53
Sichuan,870,855,3,12,2021-02-01 05:22:53
Tianjin,344,319,3,22,2021-02-01 05:22:53
Tibet,1,1,0,0,2021-02-01 05:22:53
Xinjiang,980,977,3,0,2021-02-01 05:22:53
Yunnan,231,228,2,1,2021-02-01 05:22:53
Zhejiang,1316,1305,1,10,2021-02-01 05:22:53
